"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
144,"WEST TERSCHELLING                           ","NL","+53:22:00","+005:13:00",7,1875,2025
145,"DE KOOY-1                                   ","NL","+52:55:00","+004:46:59",0,1850,2025
146,"DEN HELDER-1                                ","NL","+52:55:59","+004:45:00",0,1850,2025
147,"GRONINGEN-1                                 ","NL","+53:10:59","+006:36:00",1,1846,2025
148,"TER APEL                                    ","NL","+52:52:59","+007:04:00",11,1890,2025
149,"HOORN                                       ","NL","+52:39:00","+005:04:00",-1,1873,2025
150,"HEERDE                                      ","NL","+52:24:00","+006:03:00",6,1866,2025
151,"HOOFDDORP                                   ","NL","+52:19:00","+004:42:00",-3,1866,2025
152,"DE BILT-1                                   ","NL","+52:06:00","+005:10:59",2,1848,2025
153,"WINTERSWIJK                                 ","NL","+51:58:59","+006:42:00",34,1879,2025
154,"KERKWERVE                                   ","NL","+51:40:59","+003:52:00",6,1877,2025
155,"WESTDORPE-1                                 ","NL","+51:13:00","+003:52:00",1,1904,2025
156,"AXEL                                        ","NL","+51:16:59","+003:55:00",2,1904,2025
157,"OUDENBOSCH                                  ","NL","+51:34:00","+004:31:59",1,1887,2025
158,"ROERMOND                                    ","NL","+51:10:59","+005:58:00",19,1868,2025
161,"DE KOOY                                     ","NL","+52:55:36","+004:46:51",1,1850,2025
162,"DE BILT                                     ","NL","+52:05:56","+005:10:46",1,1848,2025
164,"EELDE                                       ","NL","+53:07:24","+006:35:04",5,1846,2025
166,"VLISSINGEN                                  ","NL","+51:26:29","+003:35:44",8,1854,2025
168,"MAASTRICHT                                  ","NL","+50:54:19","+005:45:42",114,1900,2025
411,"MARKNESSE                                   ","NL","+52:42:06","+005:53:15",-3,1941,2025
413,"LAUWERSOOG                                  ","NL","+53:24:42","+006:11:57",2,1892,2025
437,"WIJK AAN ZEE                                ","NL","+52:30:19","+004:36:11",8,1880,2025
438,"CABAUW                                      ","NL","+51:58:09","+004:55:32",0,1881,2025
442,"VOLKEL                                      ","NL","+51:39:29","+005:42:24",20,1886,2025
451,"BERKHOUT                                    ","NL","+52:38:34","+004:58:44",-2,1882,2025
453,"HEINO                                       ","NL","+52:26:03","+006:15:32",3,1950,2025
454,"HUPSEL                                      ","NL","+52:04:04","+006:39:24",29,1879,2025
464,"ARCEN                                       ","NL","+51:29:49","+006:11:45",19,1941,2025
478,"HERWIJNEN                                   ","NL","+51:51:28","+005:08:43",0,1927,2025
500,"NIEUW BEERTA                                ","NL","+53:11:39","+007:08:57",0,1905,2025
501,"PETTEN                                      ","NL","+52:46:00","+004:39:00",0,1902,2025
502,"DE COCKSDORPS                               ","NL","+53:10:00","+004:52:00",0,1950,2025
503,"DE KOOG                                     ","NL","+53:06:00","+004:46:00",0,1950,2025
504,"MAKKUM                                      ","NL","+53:04:00","+005:25:00",0,1950,2025
505,"ST. ANNA PAROCHIE                           ","NL","+53:16:59","+005:40:00",1,1878,2025
506,"APPELSCHA                                   ","NL","+52:58:00","+006:21:00",8,1904,2025
507,"NIJBEETS                                    ","NL","+53:04:00","+006:00:00",-1,1950,2025
508,"BERGUMERDAM                                 ","NL","+53:10:59","+005:58:59",1,1875,2025
509,"TERNAARD                                    ","NL","+53:22:59","+005:58:59",0,1917,2025
511,"DELFZIJL                                    ","NL","+53:19:00","+006:55:59",2,1904,2025
512,"WARFFUM                                     ","NL","+53:24:00","+006:34:00",1,1950,2025
513,"ZOUTKAMP                                    ","NL","+53:19:59","+006:18:00",1,1892,2025
514,"EEXT                                        ","NL","+53:00:00","+006:43:59",16,1923,2025
515,"VLAGTWEDDE                                  ","NL","+53:01:59","+007:07:00",2,1950,2025
516,"RODEN                                       ","NL","+53:09:00","+006:25:59",2,1846,2025
517,"ZEERIJP                                     ","NL","+53:21:00","+006:45:00",1,1950,2025
518,"BEVERWIJK                                   ","NL","+52:28:59","+004:40:00",0,1866,2025
519,"ENKHUIZEN                                   ","NL","+52:42:00","+005:18:00",2,1873,2025
520,"SCHELLINGWOUDE                              ","NL","+52:22:59","+004:58:00",-1,1866,2025
521,"ANNA PAULOWNA                               ","NL","+52:52:00","+004:49:59",-1,1850,2025
522,"ZANDVOORT                                   ","NL","+52:21:00","+004:31:00",10,1931,2025
523,"ZAANDIJK                                    ","NL","+52:28:59","+004:48:00",0,1866,2025
524,"MEDEMBLIK                                   ","NL","+52:46:59","+005:06:00",-2,1903,2025
525,"DEN OEVER                                   ","NL","+52:55:00","+005:01:59",1,1939,2025
526,"MARKEN                                      ","NL","+52:28:00","+005:06:00",0,1943,2025
527,"HOOGEVEEN-1                                 ","NL","+52:43:00","+006:28:00",10,1911,2025
528,"IJSSELMUIDEN                                ","NL","+52:34:00","+005:57:00",-2,1912,2025
529,"SCHOONLOO                                   ","NL","+52:54:00","+006:42:00",21,1950,2025
530,"ZWEELO                                      ","NL","+52:48:00","+006:43:59",16,1950,2025
531,"TOLLEBEEK                                   ","NL","+52:40:00","+005:37:59",-1,1950,2025
532,"EMMELOORD                                   ","NL","+52:43:00","+005:46:59",-3,1941,2025
533,"KLAZIENAVEEN                                ","NL","+52:46:00","+007:00:00",16,1950,2025
534,"ELBURG                                      ","NL","+52:25:59","+005:49:59",0,1866,2025
535,"DEDEMSVAART                                 ","NL","+52:36:00","+006:27:00",6,1950,2025
536,"LEMMER (GEMAAL BUMA)                        ","NL","+52:49:59","+005:43:00",0,1879,2025
